row1:
  group1: 8241160, 23.05.01, 25, , , , , СТС, , 
  group6: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group7: , , , , , , , ,  , 
  group8: , , , , , , , ,  , 
  group9: Химия, УЛК-1, 145, , лаб., ХиЭ, доцент, Сиппель И.Я., УЛК-1 145, 
  group10: Математический анализ, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group11: Математический анализ, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group12: Химия, УЛК-1, 143, , лаб., ХиЭ, доцент, Мифтахов М.Н., УЛК-1 143, 
  group13: Иностранный язык (1 подгр.), УЛК-1, 332, , пр., ИЯ, доцент, Ишмурадова А.М.    , УЛК-1 332, 
  group14: Программирование (1 подгр.), УЛК-2, 406, , лаб., ИС, ассис., Булатова С.В., УЛК-2 406, 
  group15: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group16: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group17: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: Иностранный язык (1 подгруппа), УЛК-1, 336, , пр, ИЯ, ст. преп, Жданов Д.О., УЛК-1 336, 
  group22: , , , , , , , ,  , 
  group23: , , , , , , , ,  , 
  group24: , , , , , , , ,  , 
  group25: Информатика, УЛК-2, 308, , лаб, АиУ, доцент, Балабанов И.П., УЛК-2 308, 
  group26: Аналитическая геометрия, УЛК-2, 432, , пр, Мат, доцент, Аглямзанова Г.Н., УЛК-2 432, 
  group27: , , , , , , , ,  , 

row6:
  group1: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group2: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group3: История России, УЛК-4, 126, , лекц, СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group4: Аналитическая геометрия, УЛК-4, 217, , лек., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group5: Аналитическая геометрия, УЛК-4, 217, , лек., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group6: Аналитическая геометрия, УЛК-4, 217, , лек., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group7: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group8: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group9: Физическая культура и спорт, УЛК-4, 236, , лекц, ФВиС, проф, Москвин Н.Г, УЛК-4 236, 
  group10: Математический анализ, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group11: Математический анализ, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group12: Иностранный язык (1 подгр.), УЛК-1, 332, , пр., ИЯ, доцент, Ишмурадова А.М., УЛК-1 332, 
  group13: Химия, УЛК-1, 143, 125, лаб., ХиЭ, доцент, Мифтахов М.Н. Смирнова Н.Н., УЛК-1 143, УЛК-1 125
  group14: Иностранный язык (1 подгр.), УЛК-1, 328, , пр., ИЯ, доцент, Бакланов П.А., УЛК-1 328, 
  group15: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group16: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group17: Математический анализ, УЛК-3, 409, , лекц, Матем., доцент, Антропова Г.Р., УЛК-3 409, 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: Аналитическая геометрия, УЛК-1, 444, , пр, Мат, доцент, Углов А.Н., УЛК-1 444, 
  group22: Основы российской государственности, УЛК-1, 445, , пр, СГН, доцент, Яковлева М.Г., УЛК-1 445, 
  group23: , , , , , , , ,  , 
  group24: , , , , , , , ,  , 
  group25: Информатика, УЛК-2, 308, , лаб, АиУ, доцент, Балабанов И.П., УЛК-2 308, 
  group26: Математический анализ, УЛК-2, 432, , пр, Мат, доцент, Аглямзанова Г.Н., УЛК-2 432, 
  group27: , , , , , , , ,  , 

row7:
  group1: Химия, УЛК-1, 145, 147, лаб., ХиЭ, доцент, Сиппель И.Я. Фазуллин Д.Д., УЛК-1 145, УЛК-1 147
  group2: Аналитическая геометрия, УЛК-4, 223А, , пр., Матем., ассис, Филимонов С.В., УЛК-4 223А, 
  group3: Введение в профессиональную деятельность, УЛК-4, 114, , лек. пр., ААДиД, доцент, Басыров Р.Р., УЛК-4 114, 
  group4: Физическая культура и спорт, сп.комп, 24 к., , практ., ФВиС, преп., Латоша Г.В, сп.комп 24 к., 
  group5: Аналитическая геометрия, УЛК-4, 217, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group6: История России, УЛК-4, 126, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group7: Аналитическая геометрия, УЛК-4, 221, , пр., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group8: , , , , , , , ,  , 
  group9: Иностранный язык (1 подгр.), УЛК-4, 208, , пр., ИЯ, ст.преп., Мустафина Л.Р., УЛК-4 208, 
  group10: Информатика, УЛК-4, 205, , лаб., СТС, ст.преп., Мавляутдинова Г.Р. Парсин Г.А., УЛК-4 205, 
  group11: Введение в профессиональную деятельность, УЛК-4, 235, , лек пр., СТС, доцент, Фатихова Л.Э., УЛК-4 235, 
  group12: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group13: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group14: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group15: Инженерная геология, УЛК-3, 409, , пр., Стр-во, доцент, Латыпова И.А., УЛК-3 409, 
  group16: Математический анализ, УЛК-3, 305, , пр., Матем., доцент, Антропова Г.Р., УЛК-3 305, 
  group17: Иностранный язык (1 подгр.), УЛК-3, 402, , пр., ИЯ, доцент, Чернова Н.А., УЛК-3 402, 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: История России (09.09, 23.09., 07.10.,  21.10), УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group22: История России (09.09, 23.09., 07.10., 21.10), УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group23: История России (09.09, 23.09., 07.10., 21.10), УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group24: История России ( (09.09, 23.09., 07.10., 21.10), УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group25: Информатика, УЛК-5, 304, , лек, АиУ, доцент, Балабанов И.П., УЛК-5 304, 
  group26: Информатика, УЛК-5, 304, , лек, АиУ, доцент, Балабанов И.П., УЛК-5 304, 
  group27: Информатика, УЛК-5, 304, , лек, ИС, доцент, Балабанов И.П., УЛК-5 304, 

row8:
  group1: Химия, УЛК-1, 145, 147, лаб., ХиЭ, доцент, Сиппель И.Я. Фазуллин Д.Д., УЛК-1 145, УЛК-1 147
  group2: История России, УЛК-4, 204, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 204, 
  group3: Математический анализ, УЛК-4, 223А, , пр., Матем., доцент, Зайцева Ж.И., УЛК-4 223А, 
  group4: Химия, УЛК-1, 143, , лаб., ХиЭ, доцент, Смирнова Н.Н., УЛК-1 143, 
  group5: Физическая культура и спорт, сп.комп, 24 к., , практ., ФВиС, , Латоша Г.В, сп.комп 24 к., 
  group6: Аналитическая геометрия, УЛК-4, 217, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group7: Аналитическая геометрия, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group8: Аналитическая геометрия, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group9: Аналитическая геометрия, УЛК-4, 221, , лек., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group10: Программирование, УЛК-4, 235, , лек., СТС, доцент, Давлетшин Д.Ф., УЛК-4 235, 
  group11: , , , , , , , ,  , 
  group12: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group13: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group14: История России, УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group15: Инженерная геология (11.11), УЛК-3, 409, , пр., Стр-во, доцент, Латыпова И.А., УЛК-3 409, 
  group16: Математический анализ, УЛК-3, 305, , пр., Матем., доцент, Антропова Г.Р., УЛК-3 305, 
  group17: Иностранный язык (2 подгр.), УЛК-3, 402, , пр., ИЯ, доцент, Чернова Н.А., УЛК-3 402, 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: Основы российской государственности, УЛК-1, 412, , пр, СГН, доцент, Яковлева М.Г., УЛК-1 412, 
  group22: Введение в профессиональную деятельность, УЛК-1, 376, , лек(6ч)+пр(12ч), ЭЭиЭТ, ст. преп, Хафизов А.А., УЛК-1 376, 
  group23: , , , , , , , ,  , 
  group24: Иностранный язык  (1 подгруппа), УЛК-1, 328, , пр, ИЯ, доцент, Бакланов П.А., УЛК-1 328, 
  group25: , , , , , , , ,  , 
  group26: Информатика, УЛК-2, 307, , лаб, АиУ, доцент, Балабанов И.П., УЛК-2 307, 
  group27: , , , , , , , ,  , 

row9:
  group1: Химия (18.11), УЛК-1, 145, 147, лаб., ХиЭ, доцент, Сиппель И.Я. Фазуллин Д.Д., УЛК-1 145, УЛК-1 147
  group2: , , , , , , , ,  , 
  group3: , , , , , , , ,  , 
